secid	name	rating	price_pct	price_source	coupon_pct	event_date	event_type	days_to_event	maturity	amortizations_before_event	current_coupon_yield_pct	simple_yield_to_event_pct	xirr_to_event_pct	moex_yield_pct	profit_per_bond_rub	num_trades	value_today
RU000A10DZU7	А101 БО-001Р-02	A+	101.2	LAST	17.0	2027-12-16	MATURITY	456	2027-12-16	1	16.7984	15.6297	17.1005	17.15	199.88	420	8892386
RU000A1084E6	О'КЕЙ ООО БО 001Р-06	A-	99.78	LAST	15.5	2027-03-17	CALL	182	2034-03-07	0	15.5342	15.6218	16.7969	17.19	77.79	242	3825903
RU000A101SC0	ГТЛК БО 001P-18	AA-	94.81	LAST	7.84	2027-06-07	PUT	264	2035-05-23	0	8.2692	15.5985	16.2918	16.49	107.33	24	73040
RU000A10E2B3	Совком Экспресс 001P-01	A+	103.77	LAST	19.5	2027-12-22	PUT	462	2029-12-08	0	18.7916	15.5856	17.2635	17.45	207.03	35	230615
RU000A1082W2	Новые технологии БO-03	A-	101.03	LAST	18.1	2027-03-07	MATURITY	172	2027-03-07	1	17.9155	15.5838	16.8927	17.02	74.52	139	872489
RU000A10EN29	КАМАЗ ПАО БО-П22	A	100.4	LAST	16.0	2028-03-13	MATURITY	544	2028-03-13	1	15.9363	15.4562	16.8386	16.88	234.01	61	1209800
RU000A1008Y3	Почта России (АО) БО-001P-07	AA	100.71	LAST	18.5	2027-04-02	PUT	198	2029-03-27	0	18.3696	15.3847	17.3561	17.76	91.24	77	5516014
RU000A10CQ77	КАМАЗ ПАО БО-П16	A	99.51	LAST	14.9	2027-09-02	MATURITY	351	2027-09-02	1	14.9734	15.3842	16.5459	16.6	147.82	143	949470
RU000A10BPD8	ГПБ (АО) БО 004Р-21	AA+	89.22	LAST	0.01	2027-06-30	MATURITY	287	2027-06-30	1	0.0112	15.3773	15.6229	15.62	107.88	18	127568
RU000A105M91	Синара Транспортные Машины 1P3	A	103.16	LAST	18.5	2027-12-10	MATURITY	450	2027-12-10	1	17.9333	15.3624	16.5175	16.57	195.96	236	4216081
RU000A103C53	РЕСО-Лизинг ООО БО-П-11	AA-	101.65	LAST	18.6	2027-06-30	PUT	287	2031-06-20	0	18.2981	15.2186	16.4143	16.83	126.7	32	284256
RU000A106DP3	РЕСО-Лизинг ООО БО-П-22	AA-	98.03	LAST	13.1	2027-06-16	PUT	273	2033-06-03	0	13.3633	15.2164	16.235	16.54	115.53	20	126180
RU000A105KR6	Восточная Стивидор.Ком 1P-03R	AA-	95.48	LAST	11.25	2027-11-30	MATURITY	440	2027-11-30	1	11.7826	15.1602	16.0219	16.05	180.52	55	1262220
RU000A10BGY3	Мобильные ТелеСистемы 002P-10	AAA	98.7	LAST	13.25	2028-01-13	PUT	484	2030-03-30	0	13.4245	15.1384	16.2426	15.31	198.13	128	2299011
RU000A108UR9	РЕСО-Лизинг ООО БО-П-26	AA-	102.18	LAST	18.5	2027-09-29	PUT	378	2034-06-16	0	18.1053	15.133	16.8582	17.17	166.73	19	270534
RU000A1013U1	Славнефть БО 001Р-03	AA	100.5	LAST	15.95	2027-11-23	PUT	433	2029-11-15	0	15.8706	15.0495	16.1552	16.39	181.61	29	999185
RU000A108C74	РЕСО-Лизинг ООО БО-П-25	AA-	100.07	LAST	15.5	2027-04-14	PUT	210	2034-03-05	0	15.4892	15.0471	16.1702	16.51	86.78	142	451291
