event_date	event_type	name	isin	rating	coupon_pct	price_pct	price_source	current_face	nkd_rub	dirty_rub	days_to_event	simple_yield_pct	effective_xirr_pct	moex_yield_pct	maturity	put_date	put_price_pct	amortization_count	estimated_coupon_count	call_dates_ignored	unknown_offer_dates_ignored	num_trades	value_today
2027-02-24	MATURITY	СДЭК Глобал БО-П01	RU000A102SM7	NR	9.5	98.56	OFFER	200.0	1.04	198.16	160	10.1998	15.1658	15.09	2027-02-24			2	0	[]	[]	41	135469
2027-02-25	PUT	ДОМ.РФ ПАО 001Р-05R	RU000A1004W6	AAA	13.95	100.38	OFFER	1000.0	10.32	1014.12	161	12.3937	12.8581	13.54	2029-02-16	2027-02-25	100.0	0	0	[]	[]	5	15032
2027-02-25	PUT	ЭкономЛизинг 002Р-01	RU000A10CDX0	BBB-	22.0	100.15	OFFER	1000.0	21.1	1022.6	161	19.3099	21.2294	23.92	2028-08-10	2027-02-25	100.0	0	0	[]	["2027-02-26"]	14	85010
2027-02-26	MATURITY	ИНАРКТИКА 002Р-01	RU000A107W48	A+	14.25	99.97	OFFER	1000.0	7.81	1007.51	162	14.2116	15.0822	15.08	2027-02-26			1	0	[]	[]	341	5478304
2027-02-26	MATURITY	СберИОС 001Р-515R 5Г ТЕХ	RU000A104FL2	NR	0.01	95.2	PREV/LAST FALLBACK	1000.0	0	952.0	162	11.4784	11.8464	0.0	2027-02-26			1	0	[]	[]	0	0
2027-02-26	MATURITY	СберИОС 001Р-608R 3Г IMOEX	RU000A107S77	NR	0.01	93.73	PREV/LAST FALLBACK	1000.0	0	937.3	162	15.0959	15.7331	0.0	2027-02-26			1	0	[]	[]	0	0
2027-02-28	MATURITY	ГПБ (АО) БО 004Р-03	RU000A107Q95	NR	0.01	96.99	OFFER	1000.0	0.06	969.96	164	6.9157	7.0477	8.84	2027-02-28			1	0	[]	[]	0	0
2027-02-28	MATURITY	ГПБ (АО) БО 004Р-16	RU000A10ANY1	NR	0.01	128.93	OFFER	1000.0	0.06	1289.36	164	-49.9302	-43.1871	-32.37	2027-02-28			1	0	[]	[]	0	0
2027-02-28	MATURITY	Джи-групп 002P-06	RU000A10B1Q6	BBB+	24.75	102.79	OFFER	1000.0	10.85	1038.75	164	17.8456	19.8284	19.83	2027-02-28			1	0	[]	[]	224	3239392
2027-03-01	PUT	АФК Система БО 001P-09	RU000A1005L6	A+	17.5	99.86	OFFER	1000.0	10.55	1009.15	165	17.1222	17.9772	19.16	2029-02-21	2027-03-01	100.0	0	0	[]	[]	111	737402
2027-03-01	PUT	Байсэл 001P-04	RU000A10DEE6	BB-	25.25	100.64	OFFER	1000.0	23.52	1029.92	165	20.6151	22.8819	26.49	2029-08-10	2027-03-01	100.0	0	0	[]	[]	34	181038
2027-03-01	MATURITY	Банк ВТБ (ПАО) Б-1-271	RU000A1043R4	NR	0.01	102.0	PREV/LAST FALLBACK	1000.0	0	1020.0	165	-4.3288	-4.2776	0.0	2027-03-01			1	0	[]	["2027-03-01"]	0	0
